x,y
Income from employer - 97646,Salary
Health store transaction - 48905,Pharmacy
Account transfer - 50539,Transfer-Out
Monthly salary deposit - 92096,Salary
Petrol station purchase - 61173,Gas
Monthly salary deposit - 20838,Salary
Grocery store payment - 51302,Groceries
Mobile phone store purchase - 57913,Shopping
Gas utility payment - 33709,Utilities
Medicine purchase - 20381,Pharmacy
Supermarket groceries purchase - 65040,Groceries
Health store transaction - 07622,Pharmacy
Weekly grocery shopping - 57621,Groceries
Shoe store purchase - 95155,Shopping
Grocery store payment - 98513,Groceries
Payroll deposit - 41461,Salary
Payment to Italian restaurant - 41558,Restaurants
Gas utility payment - 33178,Utilities
Mobile phone store purchase - 50860,Shopping
Organic store purchase - 49182,Groceries
Income from employer - 19383,Salary
Electricity bill payment - 01482,Utilities
Payroll deposit - 55471,Salary
Pharmacy store purchase - 75446,Pharmacy
Medicine purchase - 93385,Pharmacy
Interest deposit - 75260,Interest Income
Family money transfer - 15304,Transfer-Out
Organic store purchase - 01873,Groceries
Electricity bill payment - 08896,Utilities
Lunch at sushi bar - 64264,Restaurants
Netflix subscription payment - 27699,Entertainment
Monthly salary deposit - 56588,Salary
Starbucks coffee purchase - 99059,Restaurants
Amazon online purchase - 82733,Shopping
Savings account interest - 35641,Interest Income
Bank interest payment - 81961,Interest Income
Shoe store purchase - 18691,Shopping
Gas refill payment - 88696,Gas
Gas utility payment - 48324,Utilities
Fast food purchase - 47729,Restaurants
Account transfer - 00435,Transfer-Out
Electronics store purchase - 75872,Shopping
Pharmacy store purchase - 56266,Pharmacy
Grocery store purchase - 73037,Shopping
Utility bill payment - 54749,Utilities
Weekly grocery shopping - 16537,Groceries
Supermarket groceries purchase - 65562,Groceries
Transfer to savings account - 20582,Transfer-Out
Petrol station purchase - 28011,Gas
Money sent to friend - 63172,Transfer-Out
Petrol station purchase - 83019,Gas
Gas refill payment - 74367,Gas
Gas station transaction - 58028,Gas
Lunch at sushi bar - 44499,Restaurants
Theme park ticket purchase - 63254,Entertainment
Organic store purchase - 33590,Groceries
Health store transaction - 94983,Pharmacy
Supermarket groceries purchase - 25462,Groceries
Money sent to friend - 56930,Transfer-Out
Payment to Italian restaurant - 00142,Restaurants
Weekly grocery shopping - 10096,Groceries
Streaming service payment - 67181,Entertainment
Money sent to friend - 86249,Transfer-Out
Internet service payment - 76672,Utilities
Amazon online purchase - 73309,Shopping
Grocery store payment - 44961,Groceries
Electricity bill payment - 17269,Utilities
Supermarket groceries purchase - 00770,Groceries
Water bill payment - 60031,Utilities
Income from employer - 55944,Salary
Grocery store purchase - 23671,Shopping
Health store transaction - 33096,Pharmacy
Payroll deposit - 83872,Salary
Concert tickets purchase - 59623,Entertainment
Amazon online purchase - 48410,Shopping
Fast food purchase - 23764,Restaurants
Electricity bill payment - 00701,Utilities
Prescription payment - 98572,Pharmacy
Shoe store purchase - 74096,Shopping
Concert tickets purchase - 06980,Entertainment
Money sent to friend - 80815,Transfer-Out
Money sent to friend - 02387,Transfer-Out
Bank interest payment - 16539,Interest Income
Movie theater tickets - 53114,Entertainment
Payroll deposit - 12517,Salary
Family money transfer - 70401,Transfer-Out
Grocery store purchase - 84876,Shopping
Concert tickets purchase - 65496,Entertainment
Fast food purchase - 14967,Restaurants
Income from employer - 02150,Salary
Payroll deposit - 54620,Salary
Electronics store purchase - 69416,Shopping
Payment to Italian restaurant - 62438,Restaurants
Electricity bill payment - 10510,Utilities
Pharmacy store purchase - 02454,Pharmacy
Paycheck deposit - 73078,Salary
Interest credited - 05042,Interest Income
Family money transfer - 13413,Transfer-Out
Grocery store payment - 30521,Groceries
Utility bill payment - 47221,Utilities
Money sent to friend - 55245,Transfer-Out
Streaming service payment - 44048,Entertainment
Netflix subscription payment - 42999,Entertainment
Brunch payment - 90470,Restaurants
Prescription payment - 47842,Pharmacy
Pharmacy store purchase - 64232,Pharmacy
Shoe store purchase - 43787,Shopping
Brunch payment - 41718,Restaurants
Electricity bill payment - 80830,Utilities
Bank interest payment - 66526,Interest Income
Account transfer - 70968,Transfer-Out
Mobile phone store purchase - 36315,Shopping
Grocery store purchase - 72921,Shopping
Gas utility payment - 87773,Utilities
Vegetable market transaction - 62034,Groceries
Pharmacy store purchase - 45884,Pharmacy
Monthly salary deposit - 18031,Salary
Shoe store purchase - 11112,Shopping
Starbucks coffee purchase - 46944,Restaurants
Starbucks coffee purchase - 10885,Restaurants
Income from employer - 56746,Salary
Medical supplies purchase - 43171,Pharmacy
Grocery store payment - 49703,Groceries
Water bill payment - 61511,Utilities
Gas station transaction - 20312,Gas
Gas station transaction - 50333,Gas
Medicine purchase - 51097,Pharmacy
Internet service payment - 19556,Utilities
Organic store purchase - 89796,Groceries
Family money transfer - 31406,Transfer-Out
Amazon online purchase - 06233,Shopping
Money sent to friend - 52920,Transfer-Out
Prescription payment - 69934,Pharmacy
Bank wire transfer - 50637,Transfer-Out
Bank interest payment - 30334,Interest Income
Pharmacy store purchase - 28744,Pharmacy
Gas refill payment - 74851,Gas
Organic store purchase - 95395,Groceries
Interest income received - 06214,Interest Income
Money sent to friend - 18248,Transfer-Out
Vegetable market transaction - 35400,Groceries
Weekly grocery shopping - 98468,Groceries
Interest credited - 46212,Interest Income
Grocery store purchase - 75586,Shopping
Electricity bill payment - 37025,Utilities
Fuel payment - 46303,Gas
Monthly salary deposit - 25957,Salary
Fuel purchase at gas station - 51338,Gas
Weekly grocery shopping - 66058,Groceries
Lunch at sushi bar - 53439,Restaurants
Electronics store purchase - 12186,Shopping
Medical supplies purchase - 77849,Pharmacy
Electronics store purchase - 94338,Shopping
Bank wire transfer - 73708,Transfer-Out
Concert tickets purchase - 81211,Entertainment
Mobile phone store purchase - 67077,Shopping
Lunch at sushi bar - 17501,Restaurants
Supermarket groceries purchase - 06779,Groceries
Streaming service payment - 91308,Entertainment
Vegetable market transaction - 31572,Groceries
Transfer to savings account - 05021,Transfer-Out
Grocery store payment - 95902,Groceries
Prescription payment - 35491,Pharmacy
Income from employer - 45473,Salary
Electricity bill payment - 54327,Utilities
Amazon online purchase - 43476,Shopping
Water bill payment - 52810,Utilities
Internet service payment - 19414,Utilities
Shoe store purchase - 14519,Shopping
Fuel purchase at gas station - 31284,Gas
Theme park ticket purchase - 72752,Entertainment
Bank interest payment - 46442,Interest Income
Electricity bill payment - 14290,Utilities
Payment to Italian restaurant - 40163,Restaurants
Vegetable market transaction - 67654,Groceries
Water bill payment - 24558,Utilities
Medical supplies purchase - 07981,Pharmacy
Internet service payment - 84016,Utilities
Grocery store payment - 41741,Groceries
Gas utility payment - 65485,Utilities
Bank interest payment - 49639,Interest Income
Monthly salary deposit - 00837,Salary
Starbucks coffee purchase - 34940,Restaurants
Concert tickets purchase - 23068,Entertainment
Amazon online purchase - 15064,Shopping
Prescription payment - 26593,Pharmacy
Bank interest payment - 58163,Interest Income
Health store transaction - 12926,Pharmacy
Grocery store purchase - 22258,Shopping
Transfer to savings account - 75525,Transfer-Out
Prescription payment - 43085,Pharmacy
Organic store purchase - 63425,Groceries
Medicine purchase - 86514,Pharmacy
Internet service payment - 95674,Utilities
Transfer to savings account - 53116,Transfer-Out
Organic store purchase - 48968,Groceries
Weekly grocery shopping - 62641,Groceries
Movie theater tickets - 28454,Entertainment
Lunch at sushi bar - 11286,Restaurants
Fuel purchase at gas station - 94080,Gas
Account transfer - 89436,Transfer-Out
Mobile phone store purchase - 97117,Shopping
Grocery store purchase - 65754,Shopping
Electronics store purchase - 57387,Shopping
Theme park ticket purchase - 21224,Entertainment
Transfer to savings account - 43934,Transfer-Out
Netflix subscription payment - 89378,Entertainment
Fast food purchase - 07709,Restaurants
Netflix subscription payment - 53938,Entertainment
Grocery store purchase - 88393,Shopping
Weekly grocery shopping - 08228,Groceries
Internet service payment - 87408,Utilities
Utility bill payment - 79349,Utilities
Electronics store purchase - 65368,Shopping
Income from employer - 67614,Salary
Fuel purchase at gas station - 46301,Gas
Medicine purchase - 86734,Pharmacy
Fuel payment - 15320,Gas
Paycheck deposit - 33850,Salary
Fast food purchase - 66991,Restaurants
Fuel purchase at gas station - 44203,Gas
Transfer to savings account - 05798,Transfer-Out
Electricity bill payment - 22982,Utilities
Utility bill payment - 18692,Utilities
Theme park ticket purchase - 17092,Entertainment
Water bill payment - 36401,Utilities
Income from employer - 67772,Salary
Grocery store purchase - 03299,Shopping
Transfer to savings account - 05396,Transfer-Out
Petrol station purchase - 01143,Gas
Water bill payment - 07423,Utilities
Gas refill payment - 88792,Gas
Vegetable market transaction - 89541,Groceries
Water bill payment - 59641,Utilities
Lunch at sushi bar - 14141,Restaurants
Electricity bill payment - 49541,Utilities
Fuel purchase at gas station - 32287,Gas
Vegetable market transaction - 85595,Groceries
Money sent to friend - 40768,Transfer-Out
Starbucks coffee purchase - 66359,Restaurants
Paycheck deposit - 04746,Salary
Vegetable market transaction - 63064,Groceries
Money sent to friend - 20630,Transfer-Out
Grocery store purchase - 93319,Shopping
Interest income received - 02346,Interest Income
Fuel purchase at gas station - 28799,Gas
Money sent to friend - 30314,Transfer-Out
Savings account interest - 26043,Interest Income
Gas refill payment - 60596,Gas
Gas refill payment - 56040,Gas
Internet service payment - 11985,Utilities
Vegetable market transaction - 00014,Groceries
Mobile phone store purchase - 65220,Shopping
Pharmacy store purchase - 16113,Pharmacy
Mobile phone store purchase - 82546,Shopping
Account transfer - 39820,Transfer-Out
Account transfer - 81501,Transfer-Out
Gas refill payment - 44677,Gas
Vegetable market transaction - 86696,Groceries
Supermarket groceries purchase - 10109,Groceries
Lunch at sushi bar - 41288,Restaurants
Medicine purchase - 07141,Pharmacy
Gas refill payment - 94852,Gas
Family money transfer - 00679,Transfer-Out
Gas utility payment - 55244,Utilities
Bank wire transfer - 99820,Transfer-Out
Brunch payment - 55268,Restaurants
Mobile phone store purchase - 66441,Shopping
Theme park ticket purchase - 32293,Entertainment
Family money transfer - 12798,Transfer-Out
Income from employer - 78627,Salary
Water bill payment - 11479,Utilities
Internet service payment - 25932,Utilities
Gas station transaction - 88004,Gas
Money sent to friend - 12233,Transfer-Out
Fast food purchase - 21656,Restaurants
Brunch payment - 79797,Restaurants
Transfer to savings account - 80168,Transfer-Out
Paycheck deposit - 77748,Salary
Fuel payment - 31844,Gas
Lunch at sushi bar - 84212,Restaurants
Bank interest payment - 62757,Interest Income
Gas refill payment - 44487,Gas
Monthly salary deposit - 47750,Salary
Salary payment - 47430,Salary
Petrol station purchase - 06765,Gas
Organic store purchase - 46537,Groceries
Monthly salary deposit - 89614,Salary
Streaming service payment - 66438,Entertainment
Interest credited - 80537,Interest Income
Petrol station purchase - 92055,Gas
Fuel purchase at gas station - 07527,Gas
Interest deposit - 10363,Interest Income
Payment to Italian restaurant - 45032,Restaurants
Bank wire transfer - 79682,Transfer-Out
Weekly grocery shopping - 68513,Groceries
Movie theater tickets - 35830,Entertainment
Savings account interest - 00844,Interest Income
Payroll deposit - 45785,Salary
Savings account interest - 69741,Interest Income
Medicine purchase - 44955,Pharmacy
Theme park ticket purchase - 47939,Entertainment
Family money transfer - 13251,Transfer-Out
Weekly grocery shopping - 34715,Groceries
Starbucks coffee purchase - 82841,Restaurants
Monthly salary deposit - 84559,Salary
Savings account interest - 88116,Interest Income
Utility bill payment - 17066,Utilities
Interest credited - 93064,Interest Income
Supermarket groceries purchase - 87577,Groceries
Pharmacy store purchase - 60957,Pharmacy
Bank wire transfer - 14819,Transfer-Out
Fuel purchase at gas station - 22885,Gas
Grocery store purchase - 64080,Shopping
Interest credited - 48321,Interest Income
Grocery store purchase - 11203,Shopping
Interest credited - 09172,Interest Income
Amazon online purchase - 18298,Shopping
Lunch at sushi bar - 25255,Restaurants
Amazon online purchase - 04444,Shopping
Movie theater tickets - 29625,Entertainment
Fuel payment - 54857,Gas
Fuel payment - 51299,Gas
Prescription payment - 08966,Pharmacy
Fuel purchase at gas station - 09226,Gas
Paycheck deposit - 55075,Salary
Supermarket groceries purchase - 31152,Groceries
Interest credited - 69363,Interest Income
Organic store purchase - 26329,Groceries
Monthly salary deposit - 91960,Salary
Lunch at sushi bar - 48775,Restaurants
Grocery store purchase - 08663,Shopping
Interest deposit - 31760,Interest Income
Internet service payment - 94202,Utilities
Paycheck deposit - 06372,Salary
Internet service payment - 04760,Utilities
Interest income received - 85456,Interest Income
Bank wire transfer - 50102,Transfer-Out
Money sent to friend - 87280,Transfer-Out
Medical supplies purchase - 25496,Pharmacy
Starbucks coffee purchase - 49264,Restaurants
Payroll deposit - 78224,Salary
Internet service payment - 01050,Utilities
Theme park ticket purchase - 99130,Entertainment
Shoe store purchase - 48563,Shopping
Grocery store payment - 12303,Groceries
Movie theater tickets - 76765,Entertainment
Shoe store purchase - 93867,Shopping
Brunch payment - 06410,Restaurants
Starbucks coffee purchase - 84648,Restaurants
Transfer to savings account - 44461,Transfer-Out
Brunch payment - 55107,Restaurants
Money sent to friend - 91534,Transfer-Out
Family money transfer - 11015,Transfer-Out
Health store transaction - 38713,Pharmacy
Salary payment - 30560,Salary
Medical supplies purchase - 84129,Pharmacy
Amazon online purchase - 14646,Shopping
Bank wire transfer - 96414,Transfer-Out
Brunch payment - 20226,Restaurants
Theme park ticket purchase - 79372,Entertainment
Fuel purchase at gas station - 30012,Gas
Streaming service payment - 93912,Entertainment
Netflix subscription payment - 73510,Entertainment
Supermarket groceries purchase - 06371,Groceries
Netflix subscription payment - 43315,Entertainment
Family money transfer - 80197,Transfer-Out
Streaming service payment - 33592,Entertainment
Fast food purchase - 58212,Restaurants
Grocery store payment - 89820,Groceries
Gas utility payment - 05765,Utilities
Gas utility payment - 43367,Utilities
Utility bill payment - 24950,Utilities
Concert tickets purchase - 42243,Entertainment
Fuel payment - 20725,Gas
Streaming service payment - 05344,Entertainment
Income from employer - 33126,Salary
Monthly salary deposit - 25502,Salary
Movie theater tickets - 13536,Entertainment
Weekly grocery shopping - 77816,Groceries
Petrol station purchase - 90287,Gas
Savings account interest - 87069,Interest Income
Gas refill payment - 27225,Gas
Prescription payment - 74731,Pharmacy
Interest credited - 48018,Interest Income
Supermarket groceries purchase - 46324,Groceries
Interest deposit - 25501,Interest Income
Payroll deposit - 66689,Salary
Theme park ticket purchase - 03439,Entertainment
Supermarket groceries purchase - 16186,Groceries
Lunch at sushi bar - 19322,Restaurants
Pharmacy store purchase - 43039,Pharmacy
Interest credited - 91473,Interest Income
Concert tickets purchase - 83861,Entertainment
Account transfer - 55620,Transfer-Out
Gas refill payment - 03859,Gas
Utility bill payment - 40069,Utilities
Salary payment - 38841,Salary
Family money transfer - 49153,Transfer-Out
Lunch at sushi bar - 81856,Restaurants
Electronics store purchase - 94713,Shopping
Grocery store purchase - 73425,Shopping
Electricity bill payment - 06737,Utilities
Theme park ticket purchase - 02716,Entertainment
Utility bill payment - 40674,Utilities
Internet service payment - 81012,Utilities
Prescription payment - 16024,Pharmacy
Gas station transaction - 78540,Gas
Pharmacy store purchase - 33007,Pharmacy
Concert tickets purchase - 32049,Entertainment
Paycheck deposit - 60908,Salary
Gas station transaction - 05836,Gas
Money sent to friend - 93421,Transfer-Out
Paycheck deposit - 06022,Salary
Vegetable market transaction - 30235,Groceries
Grocery store purchase - 79520,Shopping
Income from employer - 69636,Salary
Income from employer - 00945,Salary
Streaming service payment - 59268,Entertainment
Grocery store payment - 77603,Groceries
Grocery store payment - 12095,Groceries
Internet service payment - 13707,Utilities
Bank interest payment - 72732,Interest Income
Lunch at sushi bar - 86285,Restaurants
Gas refill payment - 60490,Gas
Gas station transaction - 11572,Gas
Pharmacy store purchase - 44114,Pharmacy
Money sent to friend - 35928,Transfer-Out
Electricity bill payment - 93344,Utilities
Family money transfer - 78703,Transfer-Out
Amazon online purchase - 51724,Shopping
Internet service payment - 36014,Utilities
Gas station transaction - 08734,Gas
Savings account interest - 93465,Interest Income
Interest income received - 91917,Interest Income
Weekly grocery shopping - 54666,Groceries
Interest credited - 20866,Interest Income
Fuel payment - 69125,Gas
Fuel purchase at gas station - 10737,Gas
Grocery store purchase - 98146,Shopping
Medical supplies purchase - 63348,Pharmacy
Shoe store purchase - 67317,Shopping
Bank interest payment - 01407,Interest Income
Interest deposit - 42411,Interest Income
Gas station transaction - 45152,Gas
Movie theater tickets - 78198,Entertainment
Gas utility payment - 16001,Utilities
Amazon online purchase - 02470,Shopping
Supermarket groceries purchase - 67027,Groceries
Interest deposit - 59247,Interest Income
Family money transfer - 36332,Transfer-Out
Income from employer - 30331,Salary
Utility bill payment - 78168,Utilities
Grocery store payment - 36644,Groceries
Movie theater tickets - 99803,Entertainment
Starbucks coffee purchase - 62477,Restaurants
Income from employer - 99466,Salary
Mobile phone store purchase - 21155,Shopping
Pharmacy store purchase - 17365,Pharmacy
Water bill payment - 89452,Utilities
Fuel purchase at gas station - 19093,Gas
Bank interest payment - 22481,Interest Income
Petrol station purchase - 64732,Gas
Bank wire transfer - 03977,Transfer-Out
Prescription payment - 82100,Pharmacy
Money sent to friend - 71389,Transfer-Out
Transfer to savings account - 35134,Transfer-Out
Paycheck deposit - 56235,Salary
Internet service payment - 19844,Utilities
Account transfer - 16875,Transfer-Out
Vegetable market transaction - 91974,Groceries
Theme park ticket purchase - 29081,Entertainment
Concert tickets purchase - 70814,Entertainment
Bank interest payment - 96895,Interest Income
Income from employer - 69735,Salary
Weekly grocery shopping - 61831,Groceries
Transfer to savings account - 87411,Transfer-Out
Internet service payment - 82816,Utilities
Payroll deposit - 17839,Salary
Fuel purchase at gas station - 09109,Gas
Payroll deposit - 41721,Salary
Savings account interest - 35177,Interest Income
Mobile phone store purchase - 86263,Shopping
Shoe store purchase - 04650,Shopping
Bank wire transfer - 46053,Transfer-Out
Bank interest payment - 50097,Interest Income
Gas refill payment - 80558,Gas
Electricity bill payment - 55771,Utilities
Movie theater tickets - 15158,Entertainment
Shoe store purchase - 12158,Shopping
Payment to Italian restaurant - 95354,Restaurants
Lunch at sushi bar - 39576,Restaurants
Water bill payment - 56593,Utilities
Medical supplies purchase - 20821,Pharmacy
Grocery store payment - 96231,Groceries
Family money transfer - 02394,Transfer-Out
Amazon online purchase - 69126,Shopping
Grocery store payment - 75651,Groceries
Fuel payment - 94060,Gas
Grocery store purchase - 15063,Shopping
Salary payment - 17209,Salary
Theme park ticket purchase - 97158,Entertainment
Family money transfer - 03522,Transfer-Out
Shoe store purchase - 19337,Shopping
Medical supplies purchase - 58410,Pharmacy
Medicine purchase - 61529,Pharmacy
Paycheck deposit - 64443,Salary
Gas utility payment - 29579,Utilities
Netflix subscription payment - 60378,Entertainment
Shoe store purchase - 79107,Shopping
Prescription payment - 80969,Pharmacy
Gas refill payment - 46651,Gas
Fast food purchase - 18045,Restaurants
Paycheck deposit - 96999,Salary
Transfer to savings account - 69685,Transfer-Out
Concert tickets purchase - 08594,Entertainment
Interest credited - 31925,Interest Income
Amazon online purchase - 22275,Shopping
Netflix subscription payment - 99589,Entertainment
Family money transfer - 00421,Transfer-Out
Paycheck deposit - 40415,Salary
Gas refill payment - 14162,Gas
Bank interest payment - 24181,Interest Income
Utility bill payment - 13438,Utilities
Movie theater tickets - 10379,Entertainment
Gas station transaction - 99914,Gas
Water bill payment - 37859,Utilities
Interest credited - 11015,Interest Income
Movie theater tickets - 63974,Entertainment
Weekly grocery shopping - 47215,Groceries
Netflix subscription payment - 78928,Entertainment
Theme park ticket purchase - 78751,Entertainment
Money sent to friend - 21099,Transfer-Out
Interest income received - 60043,Interest Income
Concert tickets purchase - 34563,Entertainment
Weekly grocery shopping - 23430,Groceries
Payment to Italian restaurant - 07249,Restaurants
Mobile phone store purchase - 19330,Shopping
Fast food purchase - 71387,Restaurants
Bank wire transfer - 62250,Transfer-Out
Electronics store purchase - 66098,Shopping
Concert tickets purchase - 79053,Entertainment
Water bill payment - 51147,Utilities
Health store transaction - 84790,Pharmacy
Interest deposit - 95056,Interest Income
Fuel payment - 05767,Gas
Savings account interest - 68917,Interest Income
Interest deposit - 74211,Interest Income
Streaming service payment - 68747,Entertainment
Health store transaction - 32751,Pharmacy
Fast food purchase - 20189,Restaurants
Supermarket groceries purchase - 62850,Groceries
Payroll deposit - 93982,Salary
Gas refill payment - 82960,Gas
Paycheck deposit - 72206,Salary
Transfer to savings account - 76926,Transfer-Out
Bank wire transfer - 24326,Transfer-Out
Interest credited - 47414,Interest Income
Water bill payment - 48159,Utilities
Fuel payment - 01136,Gas
Electronics store purchase - 02991,Shopping
Medicine purchase - 78630,Pharmacy
Payment to Italian restaurant - 17295,Restaurants
Payment to Italian restaurant - 58801,Restaurants
Family money transfer - 83425,Transfer-Out
Vegetable market transaction - 18125,Groceries
Interest credited - 02233,Interest Income
Grocery store payment - 96679,Groceries
Water bill payment - 92920,Utilities
Monthly salary deposit - 39001,Salary
Interest deposit - 31486,Interest Income
Account transfer - 31969,Transfer-Out
Shoe store purchase - 89711,Shopping
Utility bill payment - 81471,Utilities
Paycheck deposit - 13346,Salary
Interest deposit - 73862,Interest Income
Interest deposit - 45583,Interest Income
Family money transfer - 57820,Transfer-Out
Monthly salary deposit - 28341,Salary
Shoe store purchase - 93871,Shopping
Water bill payment - 85942,Utilities
Movie theater tickets - 71617,Entertainment
Bank interest payment - 01545,Interest Income
Fuel purchase at gas station - 11208,Gas
Interest credited - 74159,Interest Income
Utility bill payment - 74601,Utilities
Payment to Italian restaurant - 61134,Restaurants
Gas utility payment - 72532,Utilities
Fuel payment - 95912,Gas
Transfer to savings account - 21758,Transfer-Out
Utility bill payment - 36818,Utilities
Interest credited - 21373,Interest Income
Netflix subscription payment - 11209,Entertainment
Streaming service payment - 29205,Entertainment
Fast food purchase - 94003,Restaurants
Salary payment - 95333,Salary
Fuel purchase at gas station - 38557,Gas
Fast food purchase - 74801,Restaurants
Electricity bill payment - 80788,Utilities
Gas station transaction - 95965,Gas
Income from employer - 73384,Salary
Interest credited - 26016,Interest Income
Electricity bill payment - 81859,Utilities
Mobile phone store purchase - 03912,Shopping
Salary payment - 01724,Salary
Organic store purchase - 61150,Groceries
Organic store purchase - 46645,Groceries
Account transfer - 36528,Transfer-Out
Fast food purchase - 90765,Restaurants
Fuel purchase at gas station - 21303,Gas
Electricity bill payment - 34581,Utilities
Fuel purchase at gas station - 99713,Gas
Salary payment - 94742,Salary
Fast food purchase - 14630,Restaurants
Family money transfer - 08792,Transfer-Out
Movie theater tickets - 96260,Entertainment
Amazon online purchase - 42785,Shopping
Grocery store payment - 80937,Groceries
Gas station transaction - 34461,Gas
Bank interest payment - 95858,Interest Income
Movie theater tickets - 75168,Entertainment
Monthly salary deposit - 14181,Salary
Bank interest payment - 50481,Interest Income
Gas utility payment - 02945,Utilities
Petrol station purchase - 33995,Gas
Starbucks coffee purchase - 80858,Restaurants
Utility bill payment - 43849,Utilities
Monthly salary deposit - 94351,Salary
Savings account interest - 26667,Interest Income
Shoe store purchase - 81664,Shopping
Gas utility payment - 90450,Utilities
Organic store purchase - 27518,Groceries
Amazon online purchase - 99487,Shopping
Interest income received - 97526,Interest Income
Organic store purchase - 60900,Groceries
Payroll deposit - 85399,Salary
Streaming service payment - 91688,Entertainment
Family money transfer - 16919,Transfer-Out
Medicine purchase - 40856,Pharmacy
Bank interest payment - 81300,Interest Income
Fast food purchase - 16595,Restaurants
Lunch at sushi bar - 96716,Restaurants
Netflix subscription payment - 18783,Entertainment
Supermarket groceries purchase - 29665,Groceries
Shoe store purchase - 45128,Shopping
Shoe store purchase - 43834,Shopping
Brunch payment - 09063,Restaurants
Income from employer - 81015,Salary
Transfer to savings account - 13395,Transfer-Out
Lunch at sushi bar - 52165,Restaurants
Medical supplies purchase - 72380,Pharmacy
Gas station transaction - 06121,Gas
Amazon online purchase - 76484,Shopping
Interest credited - 21879,Interest Income
Grocery store purchase - 75127,Shopping
Savings account interest - 47866,Interest Income
Interest credited - 53601,Interest Income
Fast food purchase - 24689,Restaurants
Health store transaction - 31841,Pharmacy
Movie theater tickets - 23130,Entertainment
Starbucks coffee purchase - 25320,Restaurants
Vegetable market transaction - 22579,Groceries
Grocery store purchase - 84733,Shopping
Movie theater tickets - 84941,Entertainment
Petrol station purchase - 33526,Gas
Transfer to savings account - 92848,Transfer-Out
Pharmacy store purchase - 30484,Pharmacy
Weekly grocery shopping - 33074,Groceries
Brunch payment - 29469,Restaurants
Payroll deposit - 12819,Salary
Interest credited - 11939,Interest Income
Payment to Italian restaurant - 27190,Restaurants
Payroll deposit - 73695,Salary
Electronics store purchase - 31588,Shopping
Electricity bill payment - 52442,Utilities
Water bill payment - 07738,Utilities
Concert tickets purchase - 60426,Entertainment
Utility bill payment - 11255,Utilities
Salary payment - 76811,Salary
Income from employer - 98571,Salary
Organic store purchase - 13861,Groceries
Shoe store purchase - 28106,Shopping
Internet service payment - 29041,Utilities
Prescription payment - 50206,Pharmacy
Interest credited - 24554,Interest Income
Interest income received - 66920,Interest Income
Fast food purchase - 20126,Restaurants
Savings account interest - 32864,Interest Income
Gas station transaction - 32570,Gas
Medical supplies purchase - 43923,Pharmacy
Electronics store purchase - 18104,Shopping
Monthly salary deposit - 12068,Salary
Account transfer - 95421,Transfer-Out
Fast food purchase - 62257,Restaurants
Shoe store purchase - 37479,Shopping
Organic store purchase - 24833,Groceries
Medical supplies purchase - 42561,Pharmacy
Interest credited - 61427,Interest Income
Bank interest payment - 20931,Interest Income
Vegetable market transaction - 84952,Groceries
Salary payment - 34930,Salary
Health store transaction - 81757,Pharmacy
Salary payment - 10916,Salary
Health store transaction - 66327,Pharmacy
Brunch payment - 02503,Restaurants
Bank interest payment - 60232,Interest Income
Medical supplies purchase - 10291,Pharmacy
Transfer to savings account - 20926,Transfer-Out
Savings account interest - 39895,Interest Income
Petrol station purchase - 48817,Gas
Grocery store payment - 41329,Groceries
Gas utility payment - 17805,Utilities
Payroll deposit - 97444,Salary
Savings account interest - 05947,Interest Income
Account transfer - 75368,Transfer-Out
Supermarket groceries purchase - 73408,Groceries
Prescription payment - 80291,Pharmacy
Transfer to savings account - 85681,Transfer-Out
Bank wire transfer - 70217,Transfer-Out
Water bill payment - 26833,Utilities
Brunch payment - 62018,Restaurants
Pharmacy store purchase - 21053,Pharmacy
Amazon online purchase - 49885,Shopping
Family money transfer - 86461,Transfer-Out
Concert tickets purchase - 56242,Entertainment
Grocery store purchase - 46361,Shopping
Savings account interest - 12135,Interest Income
Fast food purchase - 49318,Restaurants
Internet service payment - 01582,Utilities
Prescription payment - 51165,Pharmacy
Water bill payment - 27339,Utilities
Utility bill payment - 96175,Utilities
Health store transaction - 13936,Pharmacy
Interest income received - 08101,Interest Income
Internet service payment - 79872,Utilities
Gas refill payment - 74061,Gas
Mobile phone store purchase - 76893,Shopping
Utility bill payment - 16514,Utilities
Grocery store payment - 21881,Groceries
Transfer to savings account - 66288,Transfer-Out
Income from employer - 58369,Salary
Prescription payment - 12853,Pharmacy
Medicine purchase - 84685,Pharmacy
Petrol station purchase - 21263,Gas
Netflix subscription payment - 92708,Entertainment
Supermarket groceries purchase - 52563,Groceries
Transfer to savings account - 58599,Transfer-Out
Payment to Italian restaurant - 32371,Restaurants
Health store transaction - 96820,Pharmacy
Bank wire transfer - 77099,Transfer-Out
Bank wire transfer - 98417,Transfer-Out
Shoe store purchase - 42347,Shopping
Movie theater tickets - 90716,Entertainment
Interest income received - 50764,Interest Income
Interest deposit - 14893,Interest Income
Netflix subscription payment - 40252,Entertainment
Medical supplies purchase - 08820,Pharmacy
Lunch at sushi bar - 42368,Restaurants
Grocery store payment - 64102,Groceries
Medicine purchase - 47392,Pharmacy
Weekly grocery shopping - 72652,Groceries
Medical supplies purchase - 13494,Pharmacy
Electronics store purchase - 98535,Shopping
Amazon online purchase - 77024,Shopping
Electricity bill payment - 08253,Utilities
Shoe store purchase - 26483,Shopping
Lunch at sushi bar - 21403,Restaurants
